排行榜,游戏名字,目前游戏价格?,游戏评价,游戏页面链接
109,缺氧,23.20,"好评如潮,69,563 篇用户的游戏评测中有 96% 为好评。",https://store.steampowered.com/app/457140/_/?snr=1_7_7_globaltopsellers_150_5
110,人类一败涂地 / Human Fall Flat,19.72,"特别好评,113,600 篇用户的游戏评测中有 94% 为好评。",https://store.steampowered.com/app/477160/__Human_Fall_Flat/?snr=1_7_7_globaltopsellers_150_5
111,BONEWORKS,72.00,"特别好评,22,467 篇用户的游戏评测中有 91% 为好评。",https://store.steampowered.com/app/823500/BONEWORKS/?snr=1_7_7_globaltopsellers_150_5
112,动物园之星,63.00,"特别好评,40,763 篇用户的游戏评测中有 89% 为好评。",https://store.steampowered.com/app/703080/_/?snr=1_7_7_globaltopsellers_150_5
113,Mortal Kombat 11 Ultimate,57.05,"特别好评,40,760 篇用户的捆绑包游戏评测中有 85% 为好评。",https://store.steampowered.com/sub/518699/?snr=1_7_7_globaltopsellers_150_5
114,侏罗纪世界：进化 2, 163.00,暂无评价！,https://store.steampowered.com/app/1244460/_2/?snr=1_7_7_globaltopsellers_150_5
115,Metro Exodus - Gold Edition,73.20,"特别好评,58,225 篇用户的捆绑包游戏评测中有 88% 为好评。",https://store.steampowered.com/sub/298833/?snr=1_7_7_globaltopsellers_150_5
116,Euro Truck Simulator 2,24.75,"好评如潮,359,644 篇用户的游戏评测中有 97% 为好评。",https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_globaltopsellers_150_5
117,Crusader Kings III,110.40,"特别好评,41,403 篇用户的游戏评测中有 93% 为好评。",https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_globaltopsellers_150_5
118,Arma 3,29.75,"特别好评,152,592 篇用户的游戏评测中有 90% 为好评。",https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_globaltopsellers_150_5
119,World War Z: Aftermath - Deluxe Edition,128.00,"多半好评,2,399 篇用户的捆绑包游戏评测中有 78% 为好评。",https://store.steampowered.com/bundle/21208/World_War_Z_Aftermath__Deluxe_Edition/?snr=1_7_7_globaltopsellers_150_5
120,Dying Light Enhanced Edition,54.50,"特别好评,此产品在一个或多个时间段内出现跑题评测活动。这些时间段内的评测已按您的偏好设置不计入此产品的评测分数。",https://store.steampowered.com/sub/88801/?snr=1_7_7_globaltopsellers_150_5
121,Noita,42.00,"好评如潮,33,909 篇用户的游戏评测中有 95% 为好评。",https://store.steampowered.com/app/881100/Noita/?snr=1_7_7_globaltopsellers_150_5
